Team,Conference,G,AB,R,H,2B,3B,TB,HR,IBB,BB,HBP,RBI,SF,SH,K,KL,DP,GDP,TP,SB,CS,Picked,GO,FO,IP,HA,R,ER,BB,SO,SHO,BF,P-OAB,2B-A,3B-A,HR-A,CSO,WP,BK,HB,KL,IBB,CG,Inh Run,Inh Run Score,SHA,SFA,CIA,GO,FO,SV,PO,A,E,CI,PB,SBA,CSB,TC,IDP,TP
Dayton,Atlantic 10,47,"1,282",178,365,53,5,527,33,1,81,16,153,9,34,203,42,17,5,,46,11,,355,353,310.2,332,191,162,132,234,5,"1,423","1,223",58,9,27,,21,,32,66,4,,,,28,8,,335,321,8,930,362,37,,6,44,8,"1,329",12,
Delaware,CAA,34,889,220,271,49,11,450,36,3,106,16,187,9,11,146,40,5,3,,57,8,,210,245,218,226,127,105,82,148,8,986,861,37,3,11,,8,,24,41,2,,,,12,7,,273,197,2,654,295,36,,2,26,5,985,16,1
Delaware St.,MEAC,31,803,96,202,30,6,265,7,,41,16,79,4,23,161,34,9,,,17,5,,227,202,204.2,293,186,148,70,87,,999,889,42,10,17,,14,,11,27,,,,,16,13,,280,218,,614,284,50,,7,46,6,948,8,
DePaul,Big East,36,952,170,259,43,7,406,30,3,131,24,152,6,15,183,56,5,4,,26,10,,239,265,247,240,132,107,79,162,5,"1,059",932,35,4,25,,11,,13,14,1,,,,22,13,,280,256,5,741,301,40,,2,20,13,"1,082",16,
Detroit Mercy,Horizon,4,102,8,22,,,28,2,,17,,8,,4,22,6,1,,,2,1,,33,27,26.1,31,15,10,8,21,,121,109,11,,1,,1,,,8,,,,,3,1,,17,37,,79,20,6,,1,,,105,,
Dixie St.,WAC,49,"1,323",227,389,84,3,587,36,,153,23,219,10,18,272,70,10,4,1,33,13,,336,316,317.1,444,304,232,119,176,2,"1,571","1,384",78,10,55,,10,,42,56,1,,,,17,9,,412,312,1,952,423,79,,7,29,9,"1,454",19,
Drake,MVC,49,"1,286",207,355,63,8,485,17,,150,20,182,9,19,263,70,9,3,,70,14,,353,291,312.2,359,271,225,227,298,5,"1,588","1,283",59,10,28,,27,,49,84,3,,,,20,8,1,225,379,4,938,245,73,1,7,61,9,"1,256",4,
Drexel,CAA,41,"1,088",289,357,61,2,545,41,2,170,32,264,13,8,129,44,12,6,,39,6,,301,281,255.2,274,151,126,96,131,4,"1,134",992,45,5,26,,23,,19,48,4,,,,17,10,,339,255,3,767,351,30,,6,26,14,"1,148",6,
Duke,ACC,56,"1,459",298,396,79,15,646,47,2,150,47,258,14,37,195,43,12,3,,79,20,,419,435,377,273,133,109,95,360,15,"1,537","1,393",38,9,31,,16,,30,76,6,,,,10,9,,382,349,8,"1,131",393,52,,8,44,14,"1,576",23,
East Carolina,AAC,49,"1,269",172,301,35,3,441,33,1,151,47,147,8,27,268,58,19,11,,31,12,,354,338,325,365,218,190,157,221,4,"1,520","1,282",59,7,43,,33,,37,55,,,,,29,15,,354,350,2,975,381,39,,6,56,12,"1,395",20,
Eastern Ill.,OVC,44,"1,155",224,328,48,5,554,56,1,122,27,209,9,18,197,52,13,5,,77,14,,283,329,281,309,177,141,64,133,9,"1,260","1,132",49,6,17,,14,,31,42,,,,,22,11,,364,314,3,843,368,55,,4,54,8,"1,266",13,
Eastern Ky.,OVC,52,"1,318",246,342,65,3,551,46,1,168,34,230,19,12,292,64,14,3,,42,11,,286,396,338.2,386,208,167,132,257,5,"1,580","1,395",45,2,43,,18,,34,48,1,,,,13,5,1,422,306,4,"1,016",417,65,1,3,69,7,"1,498",14,
Elon,CAA,39,"1,004",189,261,33,5,406,34,3,151,20,166,6,6,199,71,14,5,,22,4,,257,261,247,287,206,146,134,105,3,"1,200","1,009",48,4,44,,15,,22,28,,,,,21,14,,296,303,,741,303,65,,10,41,5,"1,109",17,
ETSU,SoCon,37,988,130,235,44,3,348,21,2,101,25,114,3,12,160,37,7,2,,21,2,,276,302,252.2,260,137,112,111,165,6,"1,138",975,53,3,22,,8,,14,38,,,,,31,7,,287,275,3,755,273,30,,1,25,9,"1,058",10,
Evansville,MVC,45,"1,133",215,305,54,5,510,47,7,182,28,202,14,17,307,73,7,3,,67,10,,208,321,293,283,194,166,134,276,3,"1,357","1,154",50,7,40,,21,,41,52,3,,,,24,4,,282,293,2,879,306,60,,6,55,7,"1,245",4,
Fairfield,MAAC,36,954,151,260,45,5,357,14,,96,19,129,3,33,162,42,9,,,52,10,,277,244,243,234,122,91,88,182,4,"1,060",945,28,4,10,,28,,8,47,,,,,16,3,,272,245,2,729,280,36,,6,26,6,"1,045",10,
Fairleigh Dickinson,NEC,32,857,131,213,41,6,323,19,4,67,14,118,4,21,151,44,7,4,,21,3,,271,206,212,244,173,151,111,213,2,"1,024",861,37,11,26,,27,,32,46,2,,,,13,6,1,117,279,,636,132,29,1,3,45,6,797,3,
FGCU,ASUN,47,"1,213",173,331,57,6,433,11,1,93,25,149,12,35,198,51,7,1,,67,8,,326,376,320,305,153,123,91,145,6,"1,374","1,220",41,8,19,,13,,24,37,7,,,,26,12,,443,331,6,960,440,46,1,7,72,12,"1,446",12,
FIU,C-USA,40,"1,076",163,286,41,10,392,15,2,90,11,142,8,25,152,52,13,5,,53,21,,348,283,272.1,358,198,153,89,136,1,"1,276","1,135",66,16,35,,21,,22,46,1,,,,13,15,2,234,398,3,817,264,42,2,5,47,11,"1,123",9,
Fla. Atlantic,C-USA,47,"1,219",139,294,41,11,417,20,1,72,20,120,4,19,313,74,16,6,,35,10,,290,315,310,352,228,199,148,162,3,"1,425","1,211",60,9,35,,26,,25,40,2,,,,26,15,,345,356,3,930,389,55,,12,42,19,"1,374",23,
Florida,SEC,56,"1,419",284,393,72,7,641,54,7,209,61,269,18,16,244,69,30,16,,56,3,,320,462,375.2,255,115,99,117,292,19,"1,502","1,340",50,2,28,,12,,22,73,5,,,,20,3,,460,336,12,"1,127",477,28,,6,16,9,"1,632",28,
Florida A&M,MEAC,28,645,78,147,22,6,190,3,,70,10,60,6,12,117,21,5,,,35,6,,216,148,164.1,265,208,159,94,53,1,874,753,56,7,14,,17,,15,20,,,,,6,6,,210,204,,493,207,45,,14,76,6,745,8,
Florida St.,ACC,63,"1,600",304,414,76,6,643,47,,208,32,269,15,18,264,87,27,10,,117,15,,420,478,422.2,302,129,110,112,382,21,"1,681","1,523",41,4,34,,17,,17,70,4,,,,21,8,,440,391,4,"1,268",462,44,,6,22,11,"1,774",33,
Fordham,Atlantic 10,47,"1,224",278,375,64,11,611,50,1,145,25,251,13,9,216,47,6,2,,70,3,,256,352,305,264,136,107,109,320,11,"1,332","1,184",47,2,23,,17,,24,106,,,,,11,4,,272,301,7,915,261,48,,4,26,4,"1,224",6,
